path,clip_id,split,x,y,w,h,s_px,f_px,distance_m,band
data/frames/A/000000.jpg,A,train,0.969598,0.447140,0.009632,0.008696,9.39,1483.64,315.95,far_200_400
data/frames/A/000000.jpg,A,train,0.555350,0.414520,0.008030,0.009049,9.77,1483.64,303.62,far_200_400
data/frames/A/000000.jpg,A,train,0.927458,0.451148,0.012292,0.012085,13.05,1483.64,227.35,far_200_400
data/frames/A/000000.jpg,A,train,0.597357,0.422402,0.009474,0.010117,10.93,1483.64,271.57,far_200_400
data/frames/A/000000.jpg,A,train,0.182689,0.453013,0.008395,0.008563,9.25,1483.64,320.85,far_200_400
data/frames/A/000000.jpg,A,train,0.359912,0.417664,0.008470,0.007718,8.34,1483.64,355.98,far_200_400
data/frames/A/000000.jpg,A,train,0.838187,0.418164,0.007236,0.009723,10.50,1483.64,282.58,far_200_400
data/frames/A/000000.jpg,A,train,0.619141,0.715278,0.013281,0.019444,21.00,1483.64,141.30,near_0_200
data/frames/A/000000.jpg,A,train,0.657813,0.720139,0.012500,0.015278,16.50,1483.64,179.83,near_0_200
data/frames/A/000015.jpg,A,train,0.952566,0.451277,0.012221,0.012149,13.12,1483.64,226.15,far_200_400
data/frames/A/000015.jpg,A,train,0.558376,0.442332,0.008341,0.009392,10.14,1483.64,292.53,far_200_400
data/frames/A/000015.jpg,A,train,0.208274,0.451719,0.009046,0.007764,8.39,1483.64,353.87,far_200_400
data/frames/A/000015.jpg,A,train,0.997128,0.447542,0.005384,0.010242,10.34,1483.64,287.05,far_200_400
data/frames/A/000015.jpg,A,train,0.810502,0.417561,0.007064,0.008472,9.15,1483.64,324.30,far_200_400
data/frames/A/000015.jpg,A,train,0.948931,0.429292,0.010275,0.011823,12.77,1483.64,232.38,far_200_400
data/frames/A/000015.jpg,A,train,0.332755,0.418251,0.008708,0.008411,9.08,1483.64,326.65,far_200_400
data/frames/A/000015.jpg,A,train,0.627836,0.444524,0.010556,0.008101,8.75,1483.64,339.15,far_200_400
data/frames/A/000015.jpg,A,train,0.906507,0.421337,0.008938,0.008357,9.03,1483.64,328.76,far_200_400
data/frames/A/000015.jpg,A,train,0.565212,0.423458,0.008905,0.011538,12.46,1483.64,238.12,far_200_400
data/frames/A/000015.jpg,A,train,0.971315,0.605883,0.006663,0.013040,12.79,1483.64,231.95,far_200_400
data/frames/A/000015.jpg,A,train,0.606641,0.709028,0.013281,0.020833,22.50,1483.64,131.88,near_0_200
data/frames/A/000015.jpg,A,train,0.644531,0.718056,0.015625,0.016667,18.00,1483.64,164.85,near_0_200
data/frames/A/000015.jpg,A,train,0.487500,0.060417,0.007812,0.020833,15.00,1483.64,197.83,near_0_200
data/frames/A/000030.jpg,A,train,0.977730,0.451285,0.011950,0.012307,13.29,1483.64,223.25,far_200_400
data/frames/A/000030.jpg,A,train,0.371776,0.417602,0.007622,0.007815,8.44,1483.64,351.56,far_200_400
data/frames/A/000030.jpg,A,train,0.233889,0.450537,0.008104,0.007916,8.55,1483.64,347.08,far_200_400
data/frames/A/000030.jpg,A,train,0.630361,0.717016,0.011585,0.013248,14.31,1483.64,207.39,far_200_400
data/frames/A/000030.jpg,A,train,0.783228,0.416355,0.007581,0.008278,8.94,1483.64,331.90,far_200_400
data/frames/A/000030.jpg,A,train,0.174445,0.447137,0.009035,0.008750,9.45,1483.64,314.00,far_200_400
data/frames/A/000030.jpg,A,train,0.655654,0.443587,0.010327,0.009392,10.14,1483.64,292.53,far_200_400
data/frames/A/000030.jpg,A,train,0.879296,0.420437,0.008192,0.009417,10.17,1483.64,291.76,far_200_400
data/frames/A/000030.jpg,A,train,0.964063,0.419444,0.029687,0.016667,18.00,1483.64,164.85,near_0_200
data/frames/A/000030.jpg,A,train,0.510156,0.975000,0.007812,0.030556,15.00,1483.64,197.83,near_0_200
data/frames/A/000030.jpg,A,train,0.594531,0.698611,0.012500,0.016667,18.00,1483.64,164.85,near_0_200
data/frames/A/000045.jpg,A,train,0.852377,0.418206,0.008300,0.009135,9.87,1483.64,300.76,far_200_400
data/frames/A/000045.jpg,A,train,0.277325,0.419802,0.008318,0.009261,10.00,1483.64,296.67,far_200_400
